name,link,type,category_url
"3-Ingredient Air Fryer Everything Bagel Chicken Strips




1

Rating",https://www.allrecipes.com/3-ingredient-air-fryer-everything-bagel-chicken-strips-recipe-11737461,Featured,https://www.allrecipes.com/recipes/23070/everyday-cooking/cookware-and-equipment/air-fryer/
Air Fryer Everything Bagel Chicken Cutlets,https://www.allrecipes.com/air-fryer-everything-bagel-chicken-cutlets-recipe-11737038,Featured,https://www.allrecipes.com/recipes/23070/everyday-cooking/cookware-and-equipment/air-fryer/
"Air Fryer Honey Sriracha Salmon Bites




2

Ratings",https://www.allrecipes.com/air-fryer-honey-sriracha-salmon-bites-recipe-11736471,Featured,https://www.allrecipes.com/recipes/23070/everyday-cooking/cookware-and-equipment/air-fryer/
"Air Fryer Corn on The Cob




21

Ratings",https://www.allrecipes.com/recipe/266396/air-fryer-corn-on-the-cob/,List,https://www.allrecipes.com/recipes/23070/everyday-cooking/cookware-and-equipment/air-fryer/
"Air Fryer Peanut Chicken




1

Rating",https://www.allrecipes.com/air-fryer-peanut-chicken-recipe-11728705,List,https://www.allrecipes.com/recipes/23070/everyday-cooking/cookware-and-equipment/air-fryer/
Air Fryer Crispy Onions,https://www.allrecipes.com/air-fryer-crispy-onions-recipe-11722288,List,https://www.allrecipes.com/recipes/23070/everyday-cooking/cookware-and-equipment/air-fryer/
Air Fryer Hot Honey Glazed Carrots,https://www.allrecipes.com/air-fryer-hot-honey-glazed-carrots-recipe-11721752,List,https://www.allrecipes.com/recipes/23070/everyday-cooking/cookware-and-equipment/air-fryer/
Air Fryer Sauteed Onions,https://www.allrecipes.com/air-fryer-sauteed-onions-recipe-11721774,List,https://www.allrecipes.com/recipes/23070/everyday-cooking/cookware-and-equipment/air-fryer/
"Air Fryer Pasta Tacos




1

Rating",https://www.allrecipes.com/air-fryer-pasta-tacos-recipe-11720466,List,https://www.allrecipes.com/recipes/23070/everyday-cooking/cookware-and-equipment/air-fryer/
"Copycat Cinnabon Delights Hawaiian Rolls




2

Ratings",https://www.allrecipes.com/copycat-cinnabon-delights-hawaiian-rolls-recipe-11711161,List,https://www.allrecipes.com/recipes/23070/everyday-cooking/cookware-and-equipment/air-fryer/
